"rang","testName","rt","Correct","readingrt","itemsTried","precision","readingSpeed"
"204","minPseudo",38571.9999999965,60,0,60,100,93.3319506377769
"204","minWord",27782.8000000045,60,0,60,100,129.576572555661
"205","minPseudo",23031.6999999995,60,0,60,100,156.306308262094
"205","minWord",31904.1999999681,60,0,60,100,112.837808188376
"206","minPseudo",46310.6000000189,60,0,60,100,77.7359826907561
"206","minWord",40639.8000000263,60,0,60,100,88.5831131058143
"207","minPseudo",41945.3999999969,60,0,60,100,85.8258593314229
"207","minWord",20567.5999999949,60,0,60,100,175.032575507152
"208","minPseudo",31326.7999999844,60,0,60,100,114.917578558991
"208","minWord",25577.5000000031,60,0,60,100,140.748704916414
"209","minPseudo",26471.9999999979,60,0,60,100,135.992747053501
"209","minWord",46077.6000000005,58,2,60,96.6666666666667,75.5247669149426
"210","minPseudo",35039.7999999996,60,0,60,100,102.740312444707
"210","minWord",42501.3000000006,60,0,60,100,84.7032914287316
"211","minPseudo",40129.3000000023,59,1,60,98.3333333333333,88.2148455118777
"211","minWord",38881.1999999971,60,0,60,100,92.5897348847327
"212","minPseudo",59453.3999999994,52,5,57,91.2280701754386,52.4780752656708
"212","minWord",41191.299999994,59,1,60,98.3333333333333,85.9404777222499
"213","minPseudo",52447.3000000035,58,2,60,96.6666666666667,66.3523193758262
"213","minWord",29703.3999999985,60,0,60,100,121.198246665371
"214","minPseudo",58628.2000000083,59,0,59,100,60.3804994865867
"214","minWord",48727.2000000085,60,0,60,100,73.8807072846249
"215","minPseudo",35780.5000000044,58,2,60,96.6666666666667,97.2596805522442
"215","minWord",29987.4000000164,60,0,60,100,120.050421176829
"216","minPseudo",45695.6999999966,60,0,60,100,78.7820298190042
"216","minWord",33439.700000039,60,0,60,100,107.656468209816
"217","minPseudo",27734.7999999838,60,0,60,100,129.800827840911
"217","minWord",25653.0999999377,60,0,60,100,140.333916758939
"218","minPseudo",37555.400000012,60,0,60,100,95.8583852122158
"218","minWord",28298.8000000332,60,0,60,100,127.213874793128
"219","minPseudo",46044.6000000008,59,1,60,98.3333333333333,76.8819796458203
"219","minWord",28298.8000000332,60,0,60,100,127.213874793128
"220","minPseudo",54120.8000000044,57,3,60,95,63.1919705547539
"220","minWord",35453.3000000007,60,0,60,100,101.542028527667
"221","minPseudo",43367.8000000073,59,1,60,98.3333333333333,81.6273825280371
"221","minWord",28070.400000026,60,0,60,100,128.248974008089
"222","minPseudo",24069.1999998817,60,0,60,100,149.568743457103
"222","minWord",20736.7000001832,60,0,60,100,173.605250592823
"223","minPseudo",35107.9,60,0,60,100,102.541023530317
"223","minWord",26420.2000000002,60,0,60,100,136.259377294645
"301","minPseudo",58822.1000000194,20,4,24,83.3333333333333,20.4004957320396
"301","minWord",59734.1999999771,17,7,24,70.8333333333333,17.0756451078342
"302","minPseudo",59711.8999999657,44,2,46,95.6521739130435,44.2122926921019
"302","minWord",59055.600000007,57,1,58,98.2758620689655,57.9115274419292
"303","minPseudo",58789.0000000014,40,8,48,83.3333333333333,40.8239636666713
"303","minWord",56299.7000000007,56,4,60,93.3333333333333,59.6806022056949
"304","minPseudo",56190.6999999919,17,8,25,68,18.1524700706727
"304","minWord",59196.4999999836,27,5,32,84.375,27.3664828157146
"305","minPseudo",59537.7999999619,25,0,25,100,25.1940783838328
"305","minWord",58509.099999952,28,1,29,96.551724137931,28.7134821763004
"306","minPseudo",56302.299999923,43,5,48,89.5833333333333,45.8240604736135
"306","minWord",59486.799999926,52,2,54,96.2962962962963,52.4486104480974
"307","minPseudo",59015.6000000425,23,6,29,79.3103448275862,23.3836477134691
"307","minWord",57905.1999999792,31,1,32,96.875,32.1214675020666
"308","minPseudo",47556.300000002,9,1,10,90,11.3549624339988
"308","minWord",47162.8999999992,4,3,7,57.1428571428571,5.08874560300584
"309","minPseudo",57984.1000000018,45,5,50,90,46.5644892306669
"309","minWord",48138.7000000007,59,1,60,98.3333333333333,73.5375072446898
"310","minPseudo",52203.0000000013,5,3,8,62.5,5.74679616114002
"310","minWord",56739.2,6,3,9,66.6666666666667,6.34481980711748
"311","minPseudo",59443.8000000028,8,2,10,80,8.07485389561195
"311","minWord",58842.9999999989,8,3,11,72.7272727272727,8.15729993372209
"312","minPseudo",59133.9999999982,13,2,15,86.6666666666667,13.1903811681947
"312","minWord",56251.199999997,14,4,18,77.7777777777778,14.9330147623525
"313","minPseudo",57450.7999999991,25,5,30,83.3333333333333,26.1092969984756
"313","minWord",59464.7999999941,27,0,27,100,27.2430076280448
"314","minPseudo",59686.1000000026,17,4,21,80.9523809523809,17.0894060761208
"314","minWord",54014.6999999961,19,1,20,95,21.1053657615442
