"rang","CR","rt","numbercomparisonSpeed"
204,60,39729.2000000016,90.6134530773299
205,59,42572.4000000046,83.1524649773003
206,59,45039.7000000303,78.5973263586929
207,58,52117.9000000484,66.7716849680584
208,59,38751.8000000018,91.3505953271805
209,59,37650.2000000073,94.0234049221335
210,60,48594.8999999999,74.0818480951707
211,60,53096.3999999994,67.8012068614829
212,45,58986.7999999942,45.772952592788
213,58,50900.4999999906,68.3686800719176
214,60,52602.6999999995,68.43755168461
215,60,50524.8999999858,71.2519965403398
216,59,47588.2999999737,74.3880323525311
217,59,49868.0000000313,70.9874067537855
218,33,58686.0999999844,33.7388240145541
219,60,46030.8999999972,78.2083339669704
220,58,59450.199999984,58.5363884394154
221,58,45005.8000000718,77.3233672103251
222,59,38725.2000000444,91.4133432492521
223,58,40939.7999999999,85.002857854704
301,47,59472,47.4172719935432
302,26,59196.3,26.3529984137522
303,30,58766.9000000005,30.6294870071415
304,38,58868.3999999848,38.7304564078621
305,20,57192.9000000528,20.9816253415877
306,31,59340.500000093,31.3445286102592
307,45,59499.1000000443,45.3788376630569
308,19,56398.8000000081,20.2131960254444
309,34,59088.3999999999,34.5245428882827
310,18,58136.9999999997,18.5768099489139
311,22,55812.8999999989,23.6504464021763
312,32,58750.8999999955,32.6803504286768
313,22,59127.1000000057,22.3247884641708
314,19,58301.1999999981,19.55362839873
