"rang","testName","Correct","Incorrect","rt","itemsTried","precision","readingSpeed"
"204","minPseudo",60,0,38571.9999999965,60,100,93.3319506377769
"204","minWord",60,0,27782.8000000045,60,100,129.576572555661
"205","minPseudo",60,0,23031.6999999995,60,100,156.306308262094
"205","minWord",60,0,31904.1999999681,60,100,112.837808188376
"206","minPseudo",60,0,46310.6000000189,60,100,77.7359826907561
"206","minWord",60,0,40639.8000000263,60,100,88.5831131058143
"207","minPseudo",60,0,41945.3999999969,60,100,85.8258593314229
"207","minWord",60,0,20567.5999999949,60,100,175.032575507152
"208","minPseudo",60,0,31326.7999999844,60,100,114.917578558991
"208","minWord",60,0,25577.5000000031,60,100,140.748704916414
"209","minPseudo",60,0,26471.9999999979,60,100,135.992747053501
"209","minWord",58,2,46077.6000000005,60,96.6666666666667,75.5247669149426
"210","minPseudo",60,0,35039.7999999996,60,100,102.740312444707
"210","minWord",60,0,42501.3000000006,60,100,84.7032914287316
"211","minPseudo",59,1,40129.3000000023,60,98.3333333333333,88.2148455118777
"211","minWord",60,0,38881.1999999971,60,100,92.5897348847327
"212","minPseudo",52,5,59453.3999999994,57,91.2280701754386,52.4780752656708
"212","minWord",59,1,41191.299999994,60,98.3333333333333,85.9404777222499
"213","minPseudo",58,2,52447.3000000035,60,96.6666666666667,66.3523193758262
"213","minWord",60,0,29703.3999999985,60,100,121.198246665371
"214","minPseudo",59,0,58628.2000000083,59,100,60.3804994865867
"214","minWord",60,0,48727.2000000085,60,100,73.8807072846249
"215","minPseudo",58,2,35780.5000000044,60,96.6666666666667,97.2596805522442
"215","minWord",60,0,29987.4000000164,60,100,120.050421176829
